title|likes|url
My Giant Nerd Boyfriend|76400000|https://www.webtoons.com/en/slice-of-life/my-giant-nerd-boyfriend/list?title_no=958
unOrdinary|67700000|https://www.webtoons.com/en/super-hero/unordinary/list?title_no=679
Tower of God|65100000|https://www.webtoons.com/en/fantasy/tower-of-god/list?title_no=95
Lookism|57100000|https://www.webtoons.com/en/drama/lookism/list?title_no=1049
Bluechair|50300000|https://www.webtoons.com/en/slice-of-life/bluechair/list?title_no=199
The Remarried Empress|42400000|https://www.webtoons.com/en/fantasy/the-remarried-empress/list?title_no=2135
Omniscient Reader|39800000|https://www.webtoons.com/en/action/omniscient-reader/list?title_no=2154
I Love Yoo|39000000|https://www.webtoons.com/en/drama/i-love-yoo/list?title_no=986
Adventures of God|35900000|https://www.webtoons.com/en/comedy/adventures-of-god/list?title_no=853
Eleceed|35500000|https://www.webtoons.com/en/action/eleceed/list?title_no=1571
Boyfriend of the Dead|30400000|https://www.webtoons.com/en/comedy/boyfriend-of-the-dead/list?title_no=1102
Castle Swimmer|28400000|https://www.webtoons.com/en/fantasy/castle-swimmer/list?title_no=1499
SubZero|28200000|https://www.webtoons.com/en/romance/subzero/list?title_no=1468
Down To Earth|27200000|https://www.webtoons.com/en/romance/down-to-earth/list?title_no=1817
Boyfriends.|25800000|https://www.webtoons.com/en/slice-of-life/boyfriends/list?title_no=2616
Odd Girl Out|24600000|https://www.webtoons.com/en/drama/odd-girl-out/list?title_no=1420
Your Throne|18900000|https://www.webtoons.com/en/fantasy/your-throne/list?title_no=2009
Teenage Mercenary|18000000|https://www.webtoons.com/en/action/teenage-mercenary/list?title_no=2677
The Kiss Bet|17700000|https://www.webtoons.com/en/romance/the-kiss-bet/list?title_no=1617
Purple Hyacinth|17000000|https://www.webtoons.com/en/mystery/purple-hyacinth/list?title_no=1621
Midnight Poppy Land|16900000|https://www.webtoons.com/en/romance/midnight-poppy-land/list?title_no=1798
Acception|16900000|https://www.webtoons.com/en/drama/acception/list?title_no=1513
Operation: True Love|16300000|https://www.webtoons.com/en/romance/operation-true-love/list?title_no=4465
The Greatest Estate Developer|15500000|https://www.webtoons.com/en/fantasy/the-greatest-estate-developer/list?title_no=3596
My In-Laws are Obsessed with Me|15100000|https://www.webtoons.com/en/fantasy/my-inlaws-are-obsessed-with-me/list?title_no=3918
Suitor Armor|14200000|https://www.webtoons.com/en/fantasy/suitor-armor/list?title_no=2159
I'm the Grim Reaper|14100000|https://www.webtoons.com/en/supernatural/im-the-grim-reaper/list?title_no=1697
Maybe Meant to Be|14000000|https://www.webtoons.com/en/romance/maybe-meant-to-be/list?title_no=4208
High Class Homos|13900000|https://www.webtoons.com/en/comedy/high-class-homos/list?title_no=2723
